Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
200,-0.598551,0,0,0.48274526,0.171328236,0.768780326,-0.017651252,-0.003971532,0.021769877
201,0.598551,-0.598551,-0.59855,0.480792762,0.175233129,0.770732824,-0.017651252,-0.003971532,0.021769877
202,0,0,1.197101,0.481769011,0.176209378,0.768292253,-0.017651252,-0.003971532,0.021769877
203,-0.598551,-0.59855,0,0.489090724,0.176697452,0.765851682,-0.017651252,-0.003971532,0.021769877
204,0,0,0,0.485185831,0.175721203,0.763411111,-0.017945439,-0.003971532,0.02147569
205,0,1.197101,0,0.483721509,0.182554842,0.770244648,-0.017945439,-0.003971532,0.02147569
206,0,-0.598551,0,0.48860265,0.174256881,0.768292253,-0.017945439,-0.003971532,0.02147569
207,-0.59855,0.598551,-0.598551,0.491531295,0.164982671,0.773173394,-0.017945439,-0.003971532,0.02147569
208,1.197101,0,0,0.487626402,0.165958919,0.776102039,-0.017798346,-0.004118625,0.021916971
209,0,-0.598551,0.598551,0.490066972,0.178161774,0.775613965,-0.017798346,-0.004118625,0.021916971
210,0.59855,-0.59855,0.59855,0.475911621,0.179138022,0.773173394,-0.017798346,-0.004118625,0.021916971
211,0,-1.197101,-1.197101,0.485185831,0.171328236,0.774637717,-0.017798346,-0.004118625,0.021916971
212,0.59855,0,-0.59855,0.481280938,0.1776737,0.774637717,-0.017798346,-0.004118625,0.022064065
213,-0.59855,-0.59855,0.59855,0.485185831,0.172304383,0.770732824,-0.017798346,-0.004118625,0.022064065
214,0,0.59855,0,0.487138328,0.178161774,0.777078287,-0.017798346,-0.004118625,0.022064065
215,-1.197101,-0.59855,1.197101,0.480792762,0.176697452,0.770244648,-0.018386721,-0.003971532,0.021916971
216,0.598551,1.1971,0,0.485673904,0.174744954,0.763899185,-0.018386721,-0.003971532,0.021916971
217,-1.197101,0.598551,0,0.489090724,0.173768807,0.769268502,-0.018386721,-0.003971532,0.021916971
218,0,0,-0.59855,0.483721509,0.173280632,0.771220897,-0.018386721,-0.003971532,0.021916971
219,1.197101,-0.598551,0.59855,0.479816514,0.170351988,0.783423751,-0.018092533,-0.004265719,0.021769877
